ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
3865405,"September 04, 2021 12:00:00 AM",2021,September,4,Saturday,0,36,Queen St (West),0,5556,9,6
1047852,"January 30, 2015 06:00:00 PM",2015,January,30,Friday,18,21,Bourke St-Russell St (West),1060,19095,1,5
898026,"July 21, 2014 02:00:00 AM",2014,July,21,Monday,2,4,Town Hall (West),31,66031,7,1
3218974,"July 01, 2020 08:00:00 AM",2020,July,1,Wednesday,8,59,Swanston St - RMIT Building 80,31,4148,7,3
1161458,"June 06, 2015 08:00:00 AM",2015,June,6,Saturday,8,2,Bourke Street Mall (South),236,51884,6,6
1835190,"May 04, 2017 09:00:00 PM",2017,May,4,Thursday,21,31,Lygon St (West),463,7422,5,4
3847359,"August 24, 2021 05:00:00 AM",2021,August,24,Tuesday,5,15,State Library,13,50017,8,2
170124,"June 09, 2010 03:00:00 AM",2010,June,9,Wednesday,3,6,Flinders Street Station Underpass,13,53444,6,3
4323036,"May 01, 2022 07:00:00 AM",2022,May,1,Sunday,7,79,Flinders St (South),129,3382,5,7
3587416,"March 09, 2021 06:00:00 AM",2021,March,9,Tuesday,6,39,Alfred Place,14,5676,3,2
3630577,"April 05, 2021 05:00:00 PM",2021,April,5,Monday,17,65,Swanston St - City Square,513,2073,4,1
3457247,"December 15, 2020 11:00:00 AM",2020,December,15,Tuesday,11,61,Swanston St - RMIT Building 14,231,2350,12,2
2899175,"November 10, 2019 03:00:00 PM",2019,November,10,Sunday,15,35,Southbank,1726,39528,11,7
3969169,"November 04, 2021 05:00:00 PM",2021,November,4,Thursday,17,5,Princes Bridge,783,52415,11,4
3648477,"April 16, 2021 11:00:00 PM",2021,April,16,Friday,23,8,Webb Bridge,67,10114,4,5
4096495,"January 25, 2022 06:00:00 AM",2022,January,25,Tuesday,6,25,Melbourne Convention Exhibition Centre,234,21974,1,2
3947193,"October 22, 2021 02:00:00 PM",2021,October,22,Friday,14,35,Southbank,991,39528,10,5
3494898,"January 08, 2021 12:00:00 PM",2021,January,8,Friday,12,15,State Library,689,50017,1,5
2094939,"January 14, 2018 02:00:00 PM",2018,January,14,Sunday,14,6,Flinders Street Station Underpass,2246,53444,1,7
705807,"November 05, 2013 09:00:00 PM",2013,November,5,Tuesday,21,11,Waterfront City,92,3858,11,2
1996484,"October 18, 2017 07:00:00 AM",2017,October,18,Wednesday,7,46,Pelham St (South),102,950,10,3
4032285,"December 02, 2021 06:00:00 PM",2021,December,2,Thursday,18,14,Sandridge Bridge,354,22489,12,4
1784712,"March 11, 2017 12:00:00 AM",2017,March,11,Saturday,0,30,Lonsdale St (South),725,11717,3,6
561035,"January 01, 2013 07:00:00 AM",2013,January,1,Tuesday,7,11,Waterfront City,23,3858,1,2
2647302,"April 26, 2019 12:00:00 AM",2019,April,26,Friday,0,44,Tin Alley-Swanston St (West),18,2369,4,5
